
# name, imm,        direct,         indexed,      extended,     inherent,   relative



abx,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x3A,2,    0,0


lbra,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x16,2
bra,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x20,1
lbcc,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1024	,2
bcc,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x24	,1
lbcs,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1025	,2
bcs,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x25	,1

lbeq,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1027	,2
beq,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x27	,1

lbge,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x102c	,2
bge,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x2c	,1
lbgt,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x102e	,2
bgt,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x2e	,1
lbhi,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1022	,2
bhi,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x22	,1
lbhs,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1024	,2
lble,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x102f	,2
lblo,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1025	,2
lblo,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1023	,2
lblt,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x102d	,2
lbmi,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x102b	,2
lbne,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1026,2
bne,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x26,1
lbpl,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x102a	,2
bpl,    0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x2a	,1
lbrn,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1021	,2
lbsr,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x17	,1
bsr,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x8D	,1
lbvc,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1028	,2
lbvs,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x1029	,2
lda,    0x86,1,       0x96,1,        0xA6,1,         0xB6,2,      0x00,0,    0x00,0
ldb,    0xc6,1,       0xd6,1,        0xe6,1,         0xf6,2,      0x00,0,    0x00,0
ldd,    0xcc,2,       0xdc,1,        0xec,1,         0xfc,2,      0x00,0,    0x00,0
lds,    0x10CE,2,     0x10DE,1,      0x10EE,1,       0x10FE,2,    0x00,0,    0x00,0
