nop -> 0x0
ld bc,** -> 0x1
ld (bc),a -> 0x2
inc bc -> 0x3
inc b -> 0x4
dec b -> 0x5
ld b,* -> 0x6
rlca -> 0x7
ex af,af' -> 0x8
add hl,bc -> 0x9
ld a,(bc) -> 0xa
dec bc -> 0xb
inc c -> 0xc
dec c -> 0xd
ld c,* -> 0xe
rrca -> 0xf
djnz * -> 0x10
ld de,** -> 0x11
ld (de),a -> 0x12
inc de -> 0x13
inc d -> 0x14
dec d -> 0x15
ld d,* -> 0x16
rla -> 0x17
jr * -> 0x18
add hl,de -> 0x19
ld a,(de) -> 0x1a
dec de -> 0x1b
inc e -> 0x1c
dec e -> 0x1d
ld e,* -> 0x1e
rra -> 0x1f
jr nz,* -> 0x20
ld hl,** -> 0x21
ld (**),hl -> 0x22
inc hl -> 0x23
inc h -> 0x24
dec h -> 0x25
ld h,* -> 0x26
daa -> 0x27
jr z,* -> 0x28
add hl,hl -> 0x29
ld hl,(**) -> 0x2a
dec hl -> 0x2b
inc l -> 0x2c
dec l -> 0x2d
ld l,* -> 0x2e
cpl -> 0x2f
jr nc,* -> 0x30
ld sp,** -> 0x31
ld (**),a -> 0x32
inc sp -> 0x33
inc (hl) -> 0x34
dec (hl) -> 0x35
ld (hl),* -> 0x36
scf -> 0x37
jr c,* -> 0x38
add hl,sp -> 0x39
ld a,(**) -> 0x3a
dec sp -> 0x3b
inc a -> 0x3c
dec a -> 0x3d
ld a,* -> 0x3e
ccf -> 0x3f
ld b,b -> 0x40
ld b,c -> 0x41
ld b,d -> 0x42
ld b,e -> 0x43
ld b,h -> 0x44
ld b,l -> 0x45
ld b,(hl) -> 0x46
ld b,a -> 0x47
ld c,b -> 0x48
ld c,c -> 0x49
ld c,d -> 0x4a
ld c,e -> 0x4b
ld c,h -> 0x4c
ld c,l -> 0x4d
ld c,(hl) -> 0x4e
ld c,a -> 0x4f
ld d,b -> 0x50
ld d,c -> 0x51
ld d,d -> 0x52
ld d,e -> 0x53
ld d,h -> 0x54
ld d,l -> 0x55
ld d,(hl) -> 0x56
ld d,a -> 0x57
ld e,b -> 0x58
ld e,c -> 0x59
ld e,d -> 0x5a
ld e,e -> 0x5b
ld e,h -> 0x5c
ld e,l -> 0x5d
ld e,(hl) -> 0x5e
ld e,a -> 0x5f
ld h,b -> 0x60
ld h,c -> 0x61
ld h,d -> 0x62
ld h,e -> 0x63
ld h,h -> 0x64
ld h,l -> 0x65
ld h,(hl) -> 0x66
ld h,a -> 0x67
ld l,b -> 0x68
ld l,c -> 0x69
ld l,d -> 0x6a
ld l,e -> 0x6b
ld l,h -> 0x6c
ld l,l -> 0x6d
ld l,(hl) -> 0x6e
ld l,a -> 0x6f
ld (hl),b -> 0x70
ld (hl),c -> 0x71
ld (hl),d -> 0x72
ld (hl),e -> 0x73
ld (hl),h -> 0x74
ld (hl),l -> 0x75
halt -> 0x76
ld (hl),a -> 0x77
ld a,b -> 0x78
ld a,c -> 0x79
ld a,d -> 0x7a
ld a,e -> 0x7b
ld a,h -> 0x7c
ld a,l -> 0x7d
ld a,(hl) -> 0x7e
ld a,a -> 0x7f
add a,b -> 0x80
add a,c -> 0x81
add a,d -> 0x82
add a,e -> 0x83
add a,h -> 0x84
add a,l -> 0x85
add a,(hl) -> 0x86
